,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
344,SAMA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
345,SAMO,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
346,SAND,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
347,SAPA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
348,SAPU,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
349,SARA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
350,SARI,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
351,SCBL,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
352,SEKI,0,12,0,0,0,0,0,0,12,,
353,SEMO,0,0,0,0,0,0,0,0,0,,
354,SEQU,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
355,SHEN,0,10,0,0,0,0,0,0,10,8.0,Rural High Visitation
356,SHIL,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
357,SITK,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
358,SLBE,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
359,SPAR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
360,STEA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
361,STLI,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
362,STON,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
363,STRI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
364,SUCR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
365,TAPR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
366,THIS,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
367,THJE,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
368,THKO,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
369,THRB,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
